ID,Date,City,Platform,Category,Product_Type,Product_Name,Pack_Size,MRP,Selling_Price,Discount,Stock_Status
198,28-07-26,Pune,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
199,28-07-26,Bengaluru,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
200,28-07-26,Chennai,Blinkit,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
201,28-07-26,Delhi,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
202,28-07-26,Mumbai,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
203,28-07-26,Pune,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
204,28-07-26,Bengaluru,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
205,28-07-26,Chennai,Instamart,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
206,28-07-26,Delhi,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
207,28-07-26,Mumbai,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
208,28-07-26,Pune,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
209,28-07-26,Bengaluru,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,77,0,In stock
210,28-07-26,Chennai,Zepto,Dairy,Milk,Amul Taaza Toned Milk Tetrapack,1 lit,77,,100,Out of stock
211,22-07-26,Delhi,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
212,22-07-26,Mumbai,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
213,22-07-26,Pune,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
214,22-07-26,Bengaluru,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
215,22-07-26,Chennai,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
216,22-07-26,Mumbai,Instamart,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
217,22-07-26,Pune,Instamart,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
218,22-07-26,Bengaluru,Instamart,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
219,22-07-26,Delhi,Zepto,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
220,22-07-26,Pune,Zepto,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
221,22-07-26,Bengaluru,Zepto,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
